Interest,Skill_Level,Work_Style,Education,Personality,Problem_Solving,Tech,Communication,Leadership,Creativity,Career
art,expert,flexible,masters,thinker,creative,very high,excellent,strong,medium,business analyst
technology,advanced,flexible,phd,thinker,logical,high,poor,moderate,very high,site reliability engineer
art,intermediate,team,phd,extrovert,intuitive,high,excellent,collaborative,low,financial analyst
business,expert,remote,diploma,extrovert,intuitive,high,fluent,collaborative,high,speech recognition specialist
technology,expert,solo,bachelors,thinker,creative,very high,excellent,visionary,medium,game developer
technology,beginner,solo,bachelors,doer,intuitive,high,average,collaborative,exceptional,hardware engineer
business,beginner,remote,diploma,extrovert,creative,very high,fluent,visionary,exceptional,speech recognition specialist
technology,beginner,flexible,masters,extrovert,logical,low,poor,collaborative,low,web developer
art,intermediate,remote,diploma,doer,practical,very high,outstanding,collaborative,low,mobile app developer
medicine,advanced,flexible,diploma,leader,logical,very high,poor,moderate,low,product manager
art,expert,office,phd,thinker,practical,low,excellent,strong,low,site reliability engineer
medicine,beginner,remote,high school,thinker,intuitive,high,fluent,visionary,medium,devops engineer
science,advanced,office,phd,introvert,practical,high,excellent,collaborative,high,product manager
medicine,advanced,team,bachelors,leader,practical,medium,outstanding,collaborative,very high,technical writer
technology,expert,solo,high school,introvert,intuitive,high,fluent,collaborative,medium,embedded systems engineer
science,advanced,solo,high school,leader,analytical,medium,outstanding,collaborative,high,software engineer
science,intermediate,team,masters,extrovert,logical,low,excellent,visionary,low,technical writer
science,beginner,solo,bachelors,doer,intuitive,high,poor,moderate,exceptional,software engineer
science,intermediate,team,diploma,extrovert,practical,high,poor,collaborative,low,full stack developer
medicine,expert,team,phd,leader,analytical,high,outstanding,visionary,low,iot specialist
art,advanced,remote,high school,thinker,intuitive,very high,fluent,strong,medium,algorithm engineer
medicine,expert,remote,high school,doer,creative,high,poor,strong,high,bioinformatics scientist
art,intermediate,flexible,high school,thinker,logical,low,outstanding,visionary,low,iot specialist
business,expert,solo,bachelors,thinker,analytical,low,fluent,moderate,low,ui/ux designer
medicine,beginner,solo,masters,extrovert,creative,medium,poor,visionary,low,blockchain developer
medicine,advanced,remote,bachelors,leader,intuitive,high,average,collaborative,medium,ui/ux designer
art,beginner,flexible,high school,extrovert,practical,high,outstanding,collaborative,exceptional,technical writer
technology,beginner,remote,masters,doer,analytical,low,excellent,collaborative,medium,cybersecurity analyst
art,advanced,office,high school,leader,logical,medium,excellent,collaborative,medium,augmented reality developer
art,advanced,solo,diploma,leader,creative,high,poor,visionary,low,nlp engineer
science,advanced,solo,phd,extrovert,intuitive,medium,average,collaborative,high,algorithm engineer
science,intermediate,team,high school,leader,practical,high,excellent,strong,low,data analyst
business,expert,remote,bachelors,thinker,intuitive,high,excellent,moderate,exceptional,ui/ux designer
business,advanced,flexible,phd,extrovert,practical,low,outstanding,moderate,medium,solutions architect
art,beginner,team,phd,doer,practical,medium,outstanding,collaborative,exceptional,nlp engineer
science,expert,flexible,diploma,doer,practical,low,excellent,strong,medium,computer vision engineer
technology,advanced,team,masters,introvert,analytical,high,outstanding,strong,exceptional,hardware engineer
business,beginner,flexible,diploma,leader,logical,high,outstanding,visionary,low,financial analyst
medicine,beginner,team,masters,thinker,analytical,medium,excellent,collaborative,medium,data scientist
medicine,advanced,team,masters,thinker,practical,high,poor,collaborative,very high,financial analyst
business,advanced,team,bachelors,introvert,analytical,very high,excellent,visionary,exceptional,data scientist
business,advanced,team,bachelors,extrovert,practical,medium,average,collaborative,exceptional,algorithm engineer
technology,advanced,flexible,masters,thinker,creative,high,fluent,strong,medium,devops engineer
technology,advanced,solo,high school,introvert,intuitive,high,fluent,collaborative,low,technical writer
medicine,expert,remote,phd,introvert,practical,medium,average,collaborative,high,ui/ux designer
technology,advanced,office,bachelors,thinker,practical,high,poor,moderate,low,ai researcher
medicine,intermediate,solo,masters,thinker,analytical,medium,average,strong,medium,automation engineer
science,intermediate,team,masters,extrovert,intuitive,high,outstanding,visionary,very high,site reliability engineer
medicine,intermediate,flexible,diploma,introvert,analytical,very high,poor,collaborative,medium,web developer
art,advanced,office,diploma,leader,logical,high,excellent,strong,exceptional,automation engineer
science,advanced,flexible,masters,thinker,intuitive,high,fluent,moderate,low,nlp engineer
science,intermediate,remote,diploma,leader,practical,very high,fluent,collaborative,low,full stack developer
art,advanced,flexible,high school,extrovert,practical,high,excellent,visionary,very high,solutions architect
science,expert,team,high school,thinker,intuitive,low,poor,visionary,exceptional,data analyst
medicine,advanced,flexible,masters,introvert,practical,very high,outstanding,collaborative,high,technical writer
business,expert,office,bachelors,thinker,logical,low,poor,strong,medium,web developer
technology,expert,team,high school,leader,intuitive,medium,excellent,strong,medium,automation engineer
technology,advanced,office,masters,leader,intuitive,medium,poor,visionary,high,iot specialist
technology,advanced,office,masters,introvert,intuitive,high,poor,collaborative,very high,embedded systems engineer
